# GRID_PARAMS_SHA256=66066c64228084eb7cb168ddeb512616b9aa1e5c7ff5b52ce7dafb5fc699a683
# GRID_PARAMS_JSON={"alpha":0.5,"boundary_condition":"fixed_resampled_boundaries","gamma":2.3,"generator":"periodic_hill_steger_sorenson","hill_shape":{"ly":9.0,"profile":"Mellen-Frohlich-Rodi periodic hill polynomial","reference_height":1.0,"scale":1.9285714285714286},"interpolation":{"boundary":"scipy_cubic","pq":"scipy_rect_bivariate_spline"},"ly":9.0,"lz":3.036,"mode":"adaptive_poisson","ni":257,"nj":193,"poisson":{"control_functions":"reverse_computed_PQ","max_iter":100000,"omega":1.0,"print_every":2000,"require_converged":true,"tol":1e-12},"reference_grid":"3.fine grid.dat","schema":1,"vertical_redistribution":"physical_z_vinokur_tanh"}
TITLE     = "Periodic hill 257x193"
VARIABLES = "x corner"
"y corner"
ZONE T="I257_J193_g2.30_a0.5"
 I=257, J=193, K=1,F=POINT
DT=(SINGLE SINGLE )
 -1.164150026E-10  2.800000086E-02
  6.890608665E-04  2.800006690E-02
  1.378127721E-03  2.799988716E-02
  2.067182264E-03  2.800021773E-02
  2.756257932E-03  2.799985505E-02
  3.445354214E-03  2.799261803E-02
  4.134577991E-03  2.796625525E-02
  4.823829301E-03  2.791896704E-02
  5.512844455E-03  2.784996506E-02
  6.201916404E-03  2.775383044E-02
  6.891920540E-03  2.762628746E-02
  7.581750038E-03  2.746352245E-02
  8.270541207E-03  2.726158259E-02
  8.958373407E-03  2.701632717E-02
  9.649749933E-03  2.672293965E-02
  1.033949938E-02  2.638561159E-02
  1.102755271E-02  2.600834908E-02
  1.171425452E-02  2.559486648E-02
  1.240517434E-02  2.514541149E-02
  1.309479747E-02  2.466693303E-02
  1.378316558E-02  2.416337895E-02
  1.447152093E-02  2.363764118E-02
  1.516748195E-02  2.308687420E-02
  1.586861092E-02  2.251569465E-02
  1.657355398E-02  2.192850097E-02
  1.728287244E-02  2.132804590E-02
  1.799814533E-02  2.071608376E-02
  1.871929002E-02  2.009635203E-02
  1.944479935E-02  1.947364550E-02
  2.017552048E-02  1.885107219E-02
  2.091177450E-02  1.823101895E-02
  2.165376370E-02  1.761315397E-02
  2.240094494E-02  1.699770230E-02
  2.315331005E-02  1.638425992E-02
  2.391081267E-02  1.577237613E-02
  2.467440674E-02  1.516091549E-02
  2.544349941E-02  1.454992497E-02
  2.621785875E-02  1.393915063E-02
  2.699739671E-02  1.332817026E-02
  2.778304519E-02  1.271570045E-02
  2.857472819E-02  1.210125533E-02
  2.937168878E-02  1.148481703E-02
  3.017380341E-02  1.086595611E-02
  3.098195514E-02  1.024423710E-02
  3.179656565E-02  9.621098976E-03
  3.261653685E-02  8.999492006E-03
  3.344223715E-02  8.381344819E-03
  3.427406601E-02  7.768674959E-03
  3.511187224E-02  7.164023006E-03
  3.595550922E-02  6.569972294E-03
  3.680541982E-02  5.988863644E-03
  3.766202597E-02  5.423166314E-03
  3.852393270E-02  4.876544355E-03
  3.939188053E-02  4.351422172E-03
  4.026669839E-02  3.850405516E-03
  4.114855514E-02  3.375659354E-03
  4.203602159E-02  2.928968267E-03
  4.292933220E-02  2.510821706E-03
  4.382970006E-02  2.121495399E-03
  4.473701803E-02  1.761936228E-03
  4.565065053E-02  1.433211429E-03
  4.657024899E-02  1.136257070E-03
  4.749688934E-02  8.715461536E-04
  4.843036153E-02  6.400644552E-04
  4.937040061E-02  4.427660024E-04
  5.031728375E-02  2.804773392E-04
  5.127119491E-02  1.543427204E-04
  5.223180312E-02  6.448060184E-05
  5.319863796E-02  1.355650831E-05
  5.417342610E-02  3.715585596E-07
  5.515540482E-02 -1.913368042E-07
  5.614371053E-02  6.464010156E-08
  5.713847466E-02 -1.028210947E-08
  5.814098517E-02 -3.518758033E-09
  5.915169772E-02  3.301058382E-09
  6.016896618E-02 -1.288856183E-09
  6.119284310E-02  2.729736732E-10
  6.222406425E-02  2.815019051E-11
  6.326433819E-02 -5.414312922E-11
  6.431145488E-02  2.473829475E-11
  6.536540016E-02 -6.383938517E-12
  6.642614643E-02  1.721418147E-13
  6.749672186E-02  8.301380416E-13
  6.857451331E-02 -4.576772988E-13
  6.965934951E-02  1.385939974E-13
  7.075126190E-02 -1.542863060E-14
  7.185238414E-02 -1.148213469E-14
  7.296172867E-02  8.149730890E-15
  7.407832239E-02 -2.853620118E-15
  7.520222524E-02  4.926614672E-16
  7.633481267E-02  1.318389842E-16
  7.747667597E-02 -1.370431546E-16
  7.862600079E-02  5.551115123E-17
  7.978285523E-02 -1.561251128E-17
  8.094775211E-02  1.734723476E-18
  8.212307770E-02  3.469446952E-18
  8.330610022E-02  1.734723476E-18
  8.449685294E-02  0.000000000E+00
  8.569536591E-02 -1.734723476E-18
  8.690474532E-02  1.734723476E-18
  8.812245214E-02  0.000000000E+00
  8.934808732E-02 -1.734723476E-18
  9.058170906E-02  0.000000000E+00
  9.182554274E-02  0.000000000E+00
  9.307893645E-02  1.734723476E-18
  9.434053768E-02  0.000000000E+00
  9.561037575E-02 -1.734723476E-18
  9.688966198E-02  0.000000000E+00
  9.817980742E-02  0.000000000E+00
  9.947839135E-02  1.734723476E-18
  1.007854447E-01  0.000000000E+00
  1.021012502E-01 -1.734723476E-18
  1.034291983E-01  0.000000000E+00
  1.047658088E-01  0.000000000E+00
  1.061111654E-01  0.000000000E+00
  1.074653358E-01  0.000000000E+00
  1.088313624E-01  0.000000000E+00
  1.102071623E-01  0.000000000E+00
  1.115919740E-01  0.000000000E+00
  1.129858256E-01  0.000000000E+00
  1.143908985E-01  0.000000000E+00
  1.158069922E-01  0.000000000E+00
  1.172323464E-01  0.000000000E+00
  1.186670149E-01  0.000000000E+00
  1.201121322E-01  0.000000000E+00
  1.215697649E-01  0.000000000E+00
  1.230369478E-01  0.000000000E+00
  1.245137179E-01  0.000000000E+00
  1.260001063E-01  0.000000000E+00
  1.274864091E-01  0.000000000E+00
  1.289631492E-01  0.000000000E+00
  1.304303308E-01  0.000000000E+00
  1.318879687E-01  0.000000000E+00
  1.333330860E-01  0.000000000E+00
  1.347677545E-01  0.000000000E+00
  1.361931435E-01  0.000000000E+00
  1.376092881E-01  0.000000000E+00
  1.390142925E-01  0.000000000E+00
  1.404081294E-01  0.000000000E+00
  1.417929386E-01  0.000000000E+00
  1.431687400E-01  0.000000000E+00
  1.445347723E-01  0.000000000E+00
  1.458889376E-01  0.000000000E+00
  1.472342885E-01  0.000000000E+00
  1.485708989E-01  0.000000000E+00
  1.498988581E-01  0.000000000E+00
  1.512146578E-01  0.000000000E+00
  1.525217136E-01  0.000000000E+00
  1.538202986E-01  0.000000000E+00
  1.551104383E-01  0.000000000E+00
  1.563897188E-01 -3.469446952E-18
  1.576595558E-01  0.000000000E+00
  1.589211598E-01  3.469446952E-18
  1.601745581E-01  0.000000000E+00
  1.614183918E-01  0.000000000E+00
  1.626520136E-01  0.000000000E+00
  1.638776520E-01  0.000000000E+00
  1.650953631E-01  0.000000000E+00
  1.663047425E-01  0.000000000E+00
  1.675032554E-01  0.000000000E+00
  1.686940044E-01  0.000000000E+00
  1.698770509E-01  0.000000000E+00
  1.710524499E-01  3.469446952E-18
  1.722172669E-01 -1.040834086E-17
  1.733740960E-01  5.551115123E-17
  1.745234199E-01 -1.353084311E-16
  1.756652883E-01  1.318389842E-16
  1.767978756E-01  4.926614672E-16
  1.779217738E-01 -2.844946501E-15
  1.790383677E-01  8.132383655E-15
  1.801477168E-01 -1.145611384E-14
  1.812488390E-01 -1.539046668E-14
  1.823407514E-01  1.382574610E-13
  1.834255876E-01 -4.565757494E-13
  1.845033774E-01  8.281292319E-13
  1.855739471E-01  1.717202769E-13
  1.866347715E-01 -6.369231531E-12
  1.876886930E-01  2.467651083E-11
  1.887357617E-01 -5.401172565E-11
  1.897760329E-01  2.808226568E-11
  1.908072541E-01  2.723157186E-10
  1.918311353E-01 -1.285760054E-09
  1.928484057E-01  3.293094214E-09
  1.938591263E-01 -3.510572347E-09
  1.948617110E-01 -1.025842455E-08
  1.958564276E-01  6.447826344E-08
  1.968446983E-01 -1.908730142E-07
  1.978266749E-01  3.708498919E-07
  1.988014630E-01  1.355424699E-05
  1.997682926E-01  6.448777512E-05
  2.007289019E-01  1.543579547E-04
  2.016828172E-01  2.804945799E-04
  2.026297003E-01  4.427859967E-04
  2.035697417E-01  6.400910485E-04
  2.045032657E-01  8.715765544E-04
  2.054299215E-01  1.136295489E-03
  2.063494541E-01  1.433252825E-03
  2.072630897E-01  1.761984924E-03
  2.081704061E-01  2.121550038E-03
  2.090708083E-01  2.510869254E-03
  2.099641623E-01  2.929015317E-03
  2.108515557E-01  3.375709800E-03
  2.117334041E-01  3.850464178E-03
  2.126082259E-01  4.351490145E-03
  2.134761735E-01  4.876623939E-03
  2.143380753E-01  5.423237104E-03
  2.151946847E-01  5.988939696E-03
  2.160445925E-01  6.570056604E-03
  2.168882540E-01  7.164106639E-03
  2.177261284E-01  7.768764541E-03
  2.185579663E-01  8.381433352E-03
  2.193836664E-01  8.999576011E-03
  2.202035987E-01  9.621191087E-03
  2.210181409E-01  1.024434003E-02
  2.218263003E-01  1.086605771E-02
  2.226284202E-01  1.148491339E-02
  2.234253737E-01  1.210136000E-02
  2.242170718E-01  1.271580005E-02
  2.250027899E-01  1.332826646E-02
  2.257822698E-01  1.393924838E-02
  2.265565900E-01  1.455003157E-02
  2.273256891E-01  1.516101461E-02
  2.280892881E-01  1.577247476E-02
  2.288467895E-01  1.638435864E-02
  2.295991540E-01  1.699780105E-02
  2.303463348E-01  1.761325262E-02
  2.310883208E-01  1.823111989E-02
  2.318245789E-01  1.885117671E-02
  2.325553590E-01  1.947374571E-02
  2.332809152E-01  2.009644608E-02
  2.340020469E-01  2.071618206E-02
  2.347172459E-01  2.132814216E-02
  2.354265356E-01  2.192868234E-02
  2.361315291E-01  2.251585946E-02
  2.368327104E-01  2.308696403E-02
  2.375285907E-01  2.363773997E-02
  2.382169268E-01  2.416349480E-02
  2.389053139E-01  2.466697651E-02
  2.395949318E-01  2.514543071E-02
  2.402858484E-01  2.559496672E-02
  2.409725546E-01  2.600836829E-02
  2.416606114E-01  2.638565188E-02
  2.423503468E-01  2.672305752E-02
  2.430417315E-01  2.701642064E-02
  2.437295686E-01  2.726158615E-02
  2.444183552E-01  2.746358617E-02
  2.451081814E-01  2.762636753E-02
  2.457981912E-01  2.775382339E-02
  2.464872627E-01  2.784996197E-02
  2.471762767E-01  2.791896959E-02
  2.478655289E-01  2.796625431E-02
  2.485547528E-01  2.799261822E-02
  2.492438495E-01  2.799985507E-02
  2.499329149E-01  2.800021768E-02
  2.506219652E-01  2.799988718E-02
  2.513110323E-01  2.800006689E-02
  2.520000935E-01  2.800000086E-02
 -1.082417965E-09  2.813966858E-02
  6.890990744E-04  2.813973446E-02
  1.378262149E-03  2.813955516E-02
  2.067716757E-03  2.813988492E-02
  2.757977121E-03  2.813952312E-02
  3.449527245E-03  2.813230384E-02
  4.142287730E-03  2.810600566E-02
  4.835826564E-03  2.805883332E-02
  5.529941779E-03  2.799000041E-02
  6.225015558E-03  2.789410135E-02
  6.921653702E-03  2.776687089E-02
  7.619024421E-03  2.760450470E-02
  8.316422881E-03  2.740305967E-02
  9.013899255E-03  2.715840519E-02
  9.713928908E-03  2.686573656E-02
  1.041261936E-02  2.652923507E-02
  1.110948723E-02  2.615289697E-02
  1.180503010E-02  2.574042753E-02
  1.250257676E-02  2.529207384E-02
  1.319881182E-02  2.481476781E-02
  1.389339876E-02  2.431244759E-02
  1.458820606E-02  2.378799804E-02
  1.528866359E-02  2.323858061E-02
  1.599366578E-02  2.266880062E-02
  1.670230930E-02  2.208304576E-02
  1.741497388E-02  2.148406199E-02
  1.813249470E-02  2.087359934E-02
  1.885488593E-02  2.025538615E-02
  1.958125045E-02  1.963420544E-02
  2.031218209E-02  1.901315764E-02
  2.104841077E-02  1.839462371E-02
  2.179015529E-02  1.777827269E-02
  2.253714418E-02  1.716432907E-02
  2.328941865E-02  1.655238982E-02
  2.404708407E-02  1.594200533E-02
  2.481057968E-02  1.533204297E-02
  2.557974785E-02  1.472254956E-02
  2.635440735E-02  1.411327180E-02
  2.713449356E-02  1.350378853E-02
  2.792054445E-02  1.289281946E-02
